,code
1389,300281
1390,300280
1391,300279
1392,300278
1393,300277
1394,300276
1395,300275
1396,300274
1397,300273
1398,300272
1399,300271
1400,300270
1401,300269
1402,300268
1403,300267
1404,300266
1405,300265
1406,300264
1407,300263
1408,300262
1409,300261
1410,300260
1411,300259
1412,300258
1413,300257
1414,300256
1415,300255
1416,300254
1417,300253
1418,300252
1419,300251
1420,300250
1421,300249
1422,300248
1423,300247
1424,300246
1425,300245
1426,300244
1427,300243
1428,300242
1429,300241
1430,300240
1431,300239
1432,300238
1433,300237
1434,300236
1435,300235
1436,300234
1437,300233
1438,300232
1439,300231
1440,300230
1441,300229
1442,300228
1443,300227
1444,300226
1445,300225
1446,300224
1447,300223
1448,300222
1449,300221
1450,300220
1451,300219
1452,300218
1453,300217
1454,300216
1455,300215
1456,300214
1457,300213
1458,300212
1459,300211
1460,300210
1461,300209
1462,300208
1463,300207
1464,300206
1465,300205
1466,300204
1467,300203
1468,300202
1469,300201
1470,300200
1471,300199
1472,300198
1473,300197
1474,300196
1475,300195
1476,300194
1477,300193
1478,300192
1479,300191
1480,300190
1481,300189
1482,300188
1483,300187
1484,300185
1485,300184
1486,300183
1487,300182
1488,300181
1489,300180
1490,300179
1491,300178
1492,300177
1493,300176
1494,300175
1495,300174
1496,300173
1497,300172
1498,300171
1499,300170
1500,300169
1501,300168
1502,300167
1503,300166
1504,300165
1505,300164
1506,300163
1507,300162
1508,300161
1509,300160
1510,300159
1511,300158
1512,300157
1513,300156
1514,300155
1515,300154
1516,300153
1517,300152
1518,300151
1519,300150
1520,300149
1521,300148
1522,300147
1523,300146
1524,300145
1525,300144
1526,300143
1527,300142
1528,300141
1529,300140
1530,300139
1531,300138
1532,300137
1533,300136
1534,300135
1535,300134
1536,300133
1537,300132
1538,300131
1539,300130
1540,300129
1541,300128
1542,300127
1543,300126
1544,300125
1545,300124
1546,300123
1547,300122
1548,300121
1549,300120
1550,300119
1551,300118
1552,300117
1553,300116
1554,300115
1555,300114
1556,300113
1557,300112
1558,300111
1559,300110
1560,300109
1561,300108
1562,300107
1563,300106
1564,300105
1565,300104
1566,300103
1567,300102
1568,300101
1569,300100
1570,300099
1571,300098
1572,300097
1573,300096
1574,300095
1575,300094
1576,300093
1577,300092
1578,300091
1579,300090
1580,300089
1581,300088
1582,300087
1583,300086
1584,300085
1585,300084
1586,300083
1587,300082
1588,300081
1589,300080
1590,300079
1591,300078
1592,300077
1593,300076
1594,300075
1595,300074
1596,300073
1597,300072
1598,300071
1599,300070
1600,300069
1601,300068
1602,300067
1603,300066
1604,300065
1605,300064
1606,300063
1607,300062
1608,300061
1609,300059
1610,300058
1611,300057
1612,300056
1613,300055
1614,300054
1615,300053
1616,300052
1617,300051
1618,300050
1619,300049
1620,300048
1621,300047
1622,300046
1623,300045
1624,300044
1625,300043
1626,300042
1627,300041
1628,300040
1629,300039
1630,300038
1631,300037
1632,300036
1633,300035
1634,300034
1635,300033
1636,300032
1637,300031
1638,300030
1639,300029
1640,300028
1641,300027
1642,300026
1643,300025
1644,300024
1645,300023
1646,300022
1647,300021
1648,300020
1649,300019
1650,300018
1651,300017
1652,300016
1653,300015
1654,300014
1655,300013
1656,300012
1657,300011
1658,300010
1659,300009
1660,300008
1661,300007
1662,300006
1663,300005
1664,300004
1665,300003
1666,300002
1667,300001
1668,002821
1669,002820
1670,002819
1671,002818
1672,002817
1673,002816
1674,002815
1675,002813
1676,002812
1677,002811
1678,002810
1679,002809
1680,002808
1681,002807
1682,002806
1683,002805
1684,002803
1685,002802
1686,002801
1687,002800
1688,002799
1689,002798
1690,002797
1691,002796
1692,002795
1693,002793
1694,002792
1695,002791
1696,002790
1697,002789
1698,002788
1699,002787
1700,002786
1701,002785
1702,002783
1703,002782
1704,002781
1705,002780
1706,002779
1707,002778
1708,002777
1709,002776
1710,002775
1711,002773
1712,002772
1713,002771
1714,002770
1715,002769
1716,002768
1717,002767
1718,002766
1719,002765
1720,002763
1721,002762
1722,002761
1723,002760
1724,002759
1725,002758
1726,002757
1727,002756
1728,002755
1729,002753
1730,002752
1731,002751
1732,002750
1733,002749
1734,002748
1735,002747
1736,002746
1737,002745
1738,002743
1739,002742
1740,002741
1741,002740
1742,002739
1743,002738
1744,002737
1745,002736
1746,002735
1747,002734
1748,002733
1749,002732
1750,002731
1751,002730
1752,002729
1753,002728
1754,002727
1755,002726
1756,002725
1757,002724
1758,002723
1759,002722
1760,002721
1761,002719
1762,002718
1763,002717
1764,002716
1765,002715
1766,002714
1767,002713
1768,002712
1769,002711
1770,002709
1771,002708
1772,002707
1773,002706
1774,002705
1775,002703
1776,002702
1777,002701
1778,002700
1779,002699
1780,002698
1781,002697
1782,002696
1783,002695
1784,002694
1785,002693
1786,002692
1787,002691
1788,002690
1789,002689
1790,002688
1791,002687
1792,002686
1793,002685
1794,002684
1795,002683
1796,002682
1797,002681
1798,002680
1799,002679
1800,002678
1801,002677
1802,002676
1803,002675
1804,002674
1805,002673
1806,002672
1807,002671
1808,002670
1809,002669
1810,002668
1811,002667
1812,002666
1813,002665
1814,002664
1815,002663
1816,002662
1817,002661
1818,002660
1819,002659
1820,002658
1821,002657
1822,002656
1823,002655
1824,002654
1825,002653
1826,002652
1827,002651
1828,002650
1829,002649
1830,002648
1831,002647
1832,002646
1833,002645
1834,002644
1835,002643
1836,002642
1837,002641
1838,002640
1839,002639
1840,002638
1841,002637
1842,002636
1843,002635
1844,002634
1845,002633
1846,002632
1847,002631
1848,002630
1849,002629
1850,002628
1851,002627
